game_id,move_number,player,row,col,board_state,timestamp,winner
20250319_235616,3,1,0,0,101200000,2025-03-19 23:56:16,
20250319_235616,4,2,2,2,101200002,2025-03-19 23:56:16,
20250319_235616,5,1,1,2,101201002,2025-03-19 23:56:16,
20250319_235616,6,2,2,0,101201202,2025-03-19 23:56:16,
20250319_235616,7,1,2,1,101201212,2025-03-19 23:56:16,
20250319_235616,8,2,0,1,121201212,2025-03-19 23:56:17,
20250319_235616,9,1,1,1,121211212,2025-03-19 23:56:17,0
20250319_235617,1,1,0,2,001000000,2025-03-19 23:56:17,
20250319_235617,2,2,2,0,001000200,2025-03-19 23:56:17,
20250319_235617,3,1,1,1,001010200,2025-03-19 23:56:17,
20250319_235617,4,2,2,1,001010220,2025-03-19 23:56:17,
20250319_235617,5,1,0,0,101010220,2025-03-19 23:56:17,
20250319_235617,6,2,1,0,101210220,2025-03-19 23:56:17,
20250319_235617,7,1,1,2,101211220,2025-03-19 23:56:17,
20250319_235617,8,2,2,2,101211222,2025-03-19 23:56:17,2
20250319_235618,1,1,0,1,010000000,2025-03-19 23:56:18,
20250319_235618,2,2,2,1,010000020,2025-03-19 23:56:18,
20250319_235618,3,1,2,0,010000120,2025-03-19 23:56:18,
20250319_235618,4,2,0,2,012000120,2025-03-19 23:56:18,
20250319_235618,5,1,1,0,012100120,2025-03-19 23:56:18,
20250319_235618,6,2,2,2,012100122,2025-03-19 23:56:18,
20250319_235618,7,1,0,0,112100122,2025-03-19 23:56:18,1
20250319_235619,1,1,0,2,001000000,2025-03-19 23:56:19,
20250319_235619,2,2,2,0,001000200,2025-03-19 23:56:19,
20250319_235619,3,1,2,2,001000201,2025-03-19 23:56:19,
20250319_235619,4,2,2,1,001000221,2025-03-19 23:56:19,
20250319_235619,5,1,0,0,101000221,2025-03-19 23:56:19,
20250319_235619,6,2,1,1,101020221,2025-03-19 23:56:19,
20250319_235619,7,1,0,1,111020221,2025-03-19 23:56:19,1
20250319_235619,1,1,0,0,100000000,2025-03-19 23:56:19,
20250319_235619,2,2,2,2,100000002,2025-03-19 23:56:19,
20250319_235619,3,1,2,1,100000012,2025-03-19 23:56:19,
20250319_235619,4,2,1,2,100002012,2025-03-19 23:56:19,
20250319_235619,5,1,0,2,101002012,2025-03-19 23:56:20,
20250319_235619,6,2,2,0,101002212,2025-03-19 23:56:20,
20250319_235619,7,1,1,0,101102212,2025-03-19 23:56:20,
20250319_235619,8,2,1,1,101122212,2025-03-19 23:56:20,
20250319_235619,9,1,0,1,111122212,2025-03-19 23:56:20,1
20250319_235620,1,1,0,0,100000000,2025-03-19 23:56:20,
20250319_235620,2,2,2,2,100000002,2025-03-19 23:56:20,
